timeStep,x,y,size,gridCount-PID7
9,90.0,0.0,5.0,0
9,90.0,5.0,5.0,0
9,95.0,0.0,5.0,0
9,95.0,5.0,5.0,0
10,0.0,0.0,5.0,0
10,0.0,5.0,5.0,0
10,5.0,0.0,5.0,2
10,5.0,5.0,5.0,3
10,10.0,0.0,5.0,0
10,10.0,5.0,5.0,0
10,15.0,0.0,5.0,0
10,15.0,5.0,5.0,0
10,20.0,0.0,5.0,0
10,20.0,5.0,5.0,0
10,25.0,0.0,5.0,0
10,25.0,5.0,5.0,0
10,30.0,0.0,5.0,0
10,30.0,5.0,5.0,0
10,35.0,0.0,5.0,0
10,35.0,5.0,5.0,0
10,40.0,0.0,5.0,0
10,40.0,5.0,5.0,0
10,45.0,0.0,5.0,0
10,45.0,5.0,5.0,0
10,50.0,0.0,5.0,0
10,50.0,5.0,5.0,0
10,55.0,0.0,5.0,0
10,55.0,5.0,5.0,0
10,60.0,0.0,5.0,0
10,60.0,5.0,5.0,0
10,65.0,0.0,5.0,0
10,65.0,5.0,5.0,0
10,70.0,0.0,5.0,0
10,70.0,5.0,5.0,0
10,75.0,0.0,5.0,0
10,75.0,5.0,5.0,0
10,80.0,0.0,5.0,0
10,80.0,5.0,5.0,0
10,85.0,0.0,5.0,0
10,85.0,5.0,5.0,0
10,90.0,0.0,5.0,0
10,90.0,5.0,5.0,0
10,95.0,0.0,5.0,0
10,95.0,5.0,5.0,0
11,0.0,0.0,5.0,0
11,0.0,5.0,5.0,0
11,5.0,0.0,5.0,2
11,5.0,5.0,5.0,3
11,10.0,0.0,5.0,0
11,10.0,5.0,5.0,0
11,15.0,0.0,5.0,0
11,15.0,5.0,5.0,0
11,20.0,0.0,5.0,0
11,20.0,5.0,5.0,0
11,25.0,0.0,5.0,0
11,25.0,5.0,5.0,0
11,30.0,0.0,5.0,0
11,30.0,5.0,5.0,0
11,35.0,0.0,5.0,0
11,35.0,5.0,5.0,0
11,40.0,0.0,5.0,0
11,40.0,5.0,5.0,0
11,45.0,0.0,5.0,0
11,45.0,5.0,5.0,0
11,50.0,0.0,5.0,0
11,50.0,5.0,5.0,0
11,55.0,0.0,5.0,0
11,55.0,5.0,5.0,0
11,60.0,0.0,5.0,0
11,60.0,5.0,5.0,0
11,65.0,0.0,5.0,0
11,65.0,5.0,5.0,0
11,70.0,0.0,5.0,0
11,70.0,5.0,5.0,0
11,75.0,0.0,5.0,0
11,75.0,5.0,5.0,0
11,80.0,0.0,5.0,0
11,80.0,5.0,5.0,0
11,85.0,0.0,5.0,0
11,85.0,5.0,5.0,0
11,90.0,0.0,5.0,0
11,90.0,5.0,5.0,0
11,95.0,0.0,5.0,0
11,95.0,5.0,5.0,0
12,0.0,0.0,5.0,0
12,0.0,5.0,5.0,0
12,5.0,0.0,5.0,2
12,5.0,5.0,5.0,3
12,10.0,0.0,5.0,0
12,10.0,5.0,5.0,0
12,15.0,0.0,5.0,0
12,15.0,5.0,5.0,0
12,20.0,0.0,5.0,0
12,20.0,5.0,5.0,0
12,25.0,0.0,5.0,0
12,25.0,5.0,5.0,0
12,30.0,0.0,5.0,0
12,30.0,5.0,5.0,0
12,35.0,0.0,5.0,0
12,35.0,5.0,5.0,0
12,40.0,0.0,5.0,0
12,40.0,5.0,5.0,0
12,45.0,0.0,5.0,0
12,45.0,5.0,5.0,0
12,50.0,0.0,5.0,0
12,50.0,5.0,5.0,0
12,55.0,0.0,5.0,0
12,55.0,5.0,5.0,0
12,60.0,0.0,5.0,0
12,60.0,5.0,5.0,0
12,65.0,0.0,5.0,0
12,65.0,5.0,5.0,0
12,70.0,0.0,5.0,0
12,70.0,5.0,5.0,0
12,75.0,0.0,5.0,0
12,75.0,5.0,5.0,0
12,80.0,0.0,5.0,0
12,80.0,5.0,5.0,0
12,85.0,0.0,5.0,0
12,85.0,5.0,5.0,0
12,90.0,0.0,5.0,0
12,90.0,5.0,5.0,0
12,95.0,0.0,5.0,0
12,95.0,5.0,5.0,0
13,0.0,0.0,5.0,0
13,0.0,5.0,5.0,0
13,5.0,0.0,5.0,2
13,5.0,5.0,5.0,3
13,10.0,0.0,5.0,0
13,10.0,5.0,5.0,0
13,15.0,0.0,5.0,0
13,15.0,5.0,5.0,0
13,20.0,0.0,5.0,0
13,20.0,5.0,5.0,0
13,25.0,0.0,5.0,0
13,25.0,5.0,5.0,0
13,30.0,0.0,5.0,0
13,30.0,5.0,5.0,0
13,35.0,0.0,5.0,0
13,35.0,5.0,5.0,0
13,40.0,0.0,5.0,0
13,40.0,5.0,5.0,0
13,45.0,0.0,5.0,0
13,45.0,5.0,5.0,0
13,50.0,0.0,5.0,0
13,50.0,5.0,5.0,0
13,55.0,0.0,5.0,0
13,55.0,5.0,5.0,0
13,60.0,0.0,5.0,0
13,60.0,5.0,5.0,0
13,65.0,0.0,5.0,0
13,65.0,5.0,5.0,0
13,70.0,0.0,5.0,0
13,70.0,5.0,5.0,0
13,75.0,0.0,5.0,0
13,75.0,5.0,5.0,0
13,80.0,0.0,5.0,0
13,80.0,5.0,5.0,0
13,85.0,0.0,5.0,0
13,85.0,5.0,5.0,0
13,90.0,0.0,5.0,0
13,90.0,5.0,5.0,0
13,95.0,0.0,5.0,0
13,95.0,5.0,5.0,0
14,0.0,0.0,5.0,2
14,0.0,5.0,5.0,3
14,5.0,0.0,5.0,1
14,5.0,5.0,5.0,1
14,10.0,0.0,5.0,1
14,10.0,5.0,5.0,2
14,15.0,0.0,5.0,0
14,15.0,5.0,5.0,0
14,20.0,0.0,5.0,0
14,20.0,5.0,5.0,0
14,25.0,0.0,5.0,0
14,25.0,5.0,5.0,0
14,30.0,0.0,5.0,0
14,30.0,5.0,5.0,0
14,35.0,0.0,5.0,0
14,35.0,5.0,5.0,0
14,40.0,0.0,5.0,0
14,40.0,5.0,5.0,0
14,45.0,0.0,5.0,0
14,45.0,5.0,5.0,0
14,50.0,0.0,5.0,0
14,50.0,5.0,5.0,0
14,55.0,0.0,5.0,0
14,55.0,5.0,5.0,0
14,60.0,0.0,5.0,0
14,60.0,5.0,5.0,0
14,65.0,0.0,5.0,0
14,65.0,5.0,5.0,0
14,70.0,0.0,5.0,0
14,70.0,5.0,5.0,0
14,75.0,0.0,5.0,0
14,75.0,5.0,5.0,0
14,80.0,0.0,5.0,0
14,80.0,5.0,5.0,0
14,85.0,0.0,5.0,0
14,85.0,5.0,5.0,0
14,90.0,0.0,5.0,0
14,90.0,5.0,5.0,0
14,95.0,0.0,5.0,0
14,95.0,5.0,5.0,0
15,0.0,0.0,5.0,2
15,0.0,5.0,5.0,3
15,5.0,0.0,5.0,1
15,5.0,5.0,5.0,1
15,10.0,0.0,5.0,1
15,10.0,5.0,5.0,2
15,15.0,0.0,5.0,0
15,15.0,5.0,5.0,0
15,20.0,0.0,5.0,0
15,20.0,5.0,5.0,0
15,25.0,0.0,5.0,0
15,25.0,5.0,5.0,0
15,30.0,0.0,5.0,0
15,30.0,5.0,5.0,0
15,35.0,0.0,5.0,0
15,35.0,5.0,5.0,0
15,40.0,0.0,5.0,0
15,40.0,5.0,5.0,0
15,45.0,0.0,5.0,0
15,45.0,5.0,5.0,0
15,50.0,0.0,5.0,0
15,50.0,5.0,5.0,0
15,55.0,0.0,5.0,0
